name,region,longitude,latitude,worldX,worldY,locationtype,locationtypeenum,mplongitude,mplatitude,gisX,gisY,dungeontype
Ruins of The Rlethten Farmstead,Alik'r Desert,50472,10792,394,415,DungeonRuin,DungeonRuin,394.3125,-414.6875,394.5,-415.5,DesecratedTemple
The Marexulla Manse,Alik'r Desert,67880,10792,530,415,DungeonLabyrinth,DungeonLabyrinth,530.3125,-414.6875,530.5,-415.5,DesecratedTemple
Grejon Palace,Alik'r Desert,67240,10664,525,416,HomeWealthy,HomeWealthy,525.3125,-415.6875,525.5,-416.5,
The Cairn of Balthobam,Alik'r Desert,67624,10664,528,416,DungeonLabyrinth,DungeonLabyrinth,528.3125,-415.6875,528.5,-416.5,Crypt
The Sepulcher of Lithehoth,Alik'r Desert,75048,10664,586,416,DungeonLabyrinth,DungeonLabyrinth,586.3125,-415.6875,586.5,-416.5,Crypt
Dhalpem Hall,Alik'r Desert,76968,10664,601,416,HomeWealthy,HomeWealthy,601.3125,-415.6875,601.5,-416.5,
THe Crypts of Chort,Alik'r Desert,61096,10536,477,417,Graveyard,Graveyard,477.3125,-416.6875,477.5,-417.5,Cemetery
Zenunnuga,Alik'r Desert,61344,10528,479,417,TownVillage,TownVillage,479.25,-416.75,479.5,-417.5,
Rhogila,Alik'r Desert,67848,10512,530,417,TownCity,TownCity,530.0625,-416.875,530.5,-417.5,
Garin Manor,Alik'r Desert,77480,10536,605,417,HomeWealthy,HomeWealthy,605.3125,-416.6875,605.5,-417.5,
The Citadel of Kherdar,Alik'r Desert,65320,10408,510,418,DungeonKeep,DungeonKeep,510.3125,-417.6875,510.5,-418.5,DesecratedTemple
Tower Dasen,Alik'r Desert,80808,10408,631,418,DungeonLabyrinth,DungeonLabyrinth,631.3125,-417.6875,631.5,-418.5,HumanStronghold
Old Mught-si's Shack,Alik'r Desert,45352,10280,354,419,HomePoor,HomePoor,354.3125,-418.6875,354.5,-419.5,
Burning Idol of Stendarr,Alik'r Desert,46632,10280,364,419,ReligionTemple,ReligionTemple,364.3125,-418.6875,364.5,-419.5,
Khurtin Court,Alik'r Desert,61224,10280,478,419,HomeWealthy,HomeWealthy,478.3125,-418.6875,478.5,-419.5,
Osopaisa,Alik'r Desert,62120,10272,485,419,TownVillage,TownVillage,485.3125,-418.75,485.5,-419.5,
The Flor Pit,Alik'r Desert,79400,10280,620,419,DungeonLabyrinth,DungeonLabyrinth,620.3125,-418.6875,620.5,-419.5,Mine
The Maelinxullah Hermitage,Alik'r Desert,48936,10152,382,420,DungeonLabyrinth,DungeonLabyrinth,382.3125,-419.6875,382.5,-420.5,DesecratedTemple
The Restless Badger Inn,Alik'r Desert,64808,10152,506,420,Tavern,Tavern,506.3125,-419.6875,506.5,-420.5,
Shallir Tower,Alik'r Desert,46248,10024,361,421,DungeonLabyrinth,DungeonLabyrinth,361.3125,-420.6875,361.5,-421.5,HumanStronghold
Ruins of Rlold'kern Tower,Alik'r Desert,49192,10024,384,421,DungeonRuin,DungeonRuin,384.3125,-420.6875,384.5,-421.5,DragonsDen
Mesascuza,Alik'r Desert,66336,10016,518,421,TownVillage,TownVillage,518.25,-420.75,518.5,-421.5,
Ceriburea,Alik'r Desert,71936,10000,562,421,TownCity,TownCity,562,-420.875,562.5,-421.5,
Baghissibu,Alik'r Desert,72608,10016,567,421,TownVillage,TownVillage,567.25,-420.75,567.5,-421.5,
B'ird Palace,Alik'r Desert,79400,10024,620,421,HomeWealthy,HomeWealthy,620.3125,-420.6875,620.5,-421.5,
The Friary of Geriblither,Alik'r Desert,80808,10024,631,421,DungeonLabyrinth,DungeonLabyrinth,631.3125,-420.6875,631.5,-421.5,DesecratedTemple
The Relder Cemetery,Alik'r Desert,49960,9896,390,422,Graveyard,Graveyard,390.3125,-421.6875,390.5,-422.5,Cemetery
Baerpe Manor,Alik'r Desert,65960,9896,515,422,HomeWealthy,HomeWealthy,515.3125,-421.6875,515.5,-422.5,
Sacred Seer of Stendarr,Alik'r Desert,67368,9896,526,422,ReligionTemple,ReligionTemple,526.3125,-421.6875,526.5,-422.5,
Sacred Seer of Stendarr,Urvaius,60584,57128,473,53,ReligionTemple,ReligionTemple,473.3125,-52.6875,473.5,-53.5,
Fhirht'kern Tower,Alik'r Desert,74280,9896,580,422,DungeonKeep,DungeonKeep,580.3125,-421.6875,580.5,-422.5,Mine
Mhustun Hall,Alik'r Desert,48424,9768,378,423,HomeWealthy,HomeWealthy,378.3125,-422.6875,378.5,-423.5,
Ruins of The Maeshke Farmstead,Alik'r Desert,52648,9768,411,423,DungeonRuin,DungeonRuin,411.3125,-422.6875,411.5,-423.5,ScorpionNest
Bleeding Sunrise of Stendarr,Alik'r Desert,74536,9768,582,423,ReligionTemple,ReligionTemple,582.3125,-422.6875,582.5,-423.5,
Bleeding Sunrise of Stendarr,Urvaius,55464,58536,433,42,ReligionTemple,ReligionTemple,433.3125,-41.6875,433.5,-42.5,
Ruins of The Barpen Farmstead,Alik'r Desert,43048,9640,336,424,DungeonRuin,DungeonRuin,336.3125,-423.6875,336.5,-424.5,NaturalCave
Ruins of Racher Manor,Alik'r Desert,44712,9640,349,424,DungeonRuin,DungeonRuin,349.3125,-423.6875,349.5,-424.5,HumanStronghold
The Birker Graveyard,Alik'r Desert,49064,9640,383,424,Graveyard,Graveyard,383.3125,-423.6875,383.5,-424.5,Cemetery
The Lhojin Cemetery,Alik'r Desert,66600,9640,520,424,Graveyard,Graveyard,520.3125,-423.6875,520.5,-424.5,Cemetery
Sashthrac,Alik'r Desert,70440,9640,550,424,DungeonLabyrinth,DungeonLabyrinth,550.3125,-423.6875,550.5,-424.5,OrcStronghold
Ruins of The Tosom Plantation,Alik'r Desert,46888,9512,366,425,DungeonRuin,DungeonRuin,366.3125,-424.6875,366.5,-425.5,Mine
Coven in the Marsh,Alik'r Desert,47416,9511,370,425,Coven,Coven,370.4375,-424.6953125,370.5,-425.5,
The Web of Trogdred,Alik'r Desert,47656,9512,372,425,DungeonLabyrinth,DungeonLabyrinth,372.3125,-424.6875,372.5,-425.5,ScorpionNest
Naraharet,Alik'r Desert,76192,9504,595,425,TownVillage,TownVillage,595.25,-424.75,595.5,-425.5,
Ruins of B'ijur Hall,Alik'r Desert,79016,9512,617,425,DungeonRuin,DungeonRuin,617.3125,-424.6875,617.5,-425.5,ScorpionNest
Gentle Star of Stendarr,Alik'r Desert,47912,9384,374,426,ReligionTemple,ReligionTemple,374.3125,-425.6875,374.5,-426.5,
The Kildir Cemetery,Alik'r Desert,48808,9384,381,426,Graveyard,Graveyard,381.3125,-425.6875,381.5,-426.5,Cemetery
Ruins of Maarp Tower,Alik'r Desert,52648,9384,411,426,DungeonRuin,DungeonRuin,411.3125,-425.6875,411.5,-426.5,ScorpionNest
Sairer Court,Alik'r Desert,80552,9384,629,426,HomeWealthy,HomeWealthy,629.3125,-425.6875,629.5,-426.5,
Castle Vorg,Alik'r Desert,80808,9384,631,426,DungeonLabyrinth,DungeonLabyrinth,631.3125,-425.6875,631.5,-426.5,RuinedCastle
Ruins of The Vluctten Farmstead,Alik'r Desert,49064,9256,383,427,DungeonRuin,DungeonRuin,383.3125,-426.6875,383.5,-427.5,VampireHaunt
The Sahuagex Cave,Alik'r Desert,52904,9256,413,427,DungeonLabyrinth,DungeonLabyrinth,413.3125,-426.6875,413.5,-427.5,NaturalCave
M'arg Manor,Alik'r Desert,68776,9256,537,427,HomeWealthy,HomeWealthy,537.3125,-426.6875,537.5,-427.5,
Mogindai,Alik'r Desert,70816,9248,553,427,TownVillage,TownVillage,553.25,-426.75,553.5,-427.5,
The Stuvam Graveyard,Alik'r Desert,72360,9256,565,427,Graveyard,Graveyard,565.3125,-426.6875,565.5,-427.5,Cemetery
Castle Kog'kern,Alik'r Desert,47016,9128,367,428,DungeonKeep,DungeonKeep,367.3125,-427.6875,367.5,-428.5,ScorpionNest
Nardir Hall,Alik'r Desert,63528,9128,496,428,HomeWealthy,HomeWealthy,496.3125,-427.6875,496.5,-428.5,
Old Ghartsa's Hovel,Alik'r Desert,71976,9128,562,428,HomePoor,HomePoor,562.3125,-427.6875,562.5,-428.5,
Charken Manor,Alik'r Desert,76712,9128,599,428,HomeWealthy,HomeWealthy,599.3125,-427.6875,599.5,-428.5,
Castle Shurgrn,Alik'r Desert,78376,9128,612,428,DungeonKeep,DungeonKeep,612.3125,-427.6875,612.5,-428.5,Mine
Wadijehnu,Alik'r Desert,79136,9128,618,428,TownVillage,TownVillage,618.25,-427.6875,618.5,-428.5,
Anthor's Web,Alik'r Desert,42152,9000,329,429,DungeonLabyrinth,DungeonLabyrinth,329.3125,-428.6875,329.5,-429.5,ScorpionNest
Burning Sunrise of Stendarr,Alik'r Desert,47656,9000,372,429,ReligionTemple,ReligionTemple,372.3125,-428.6875,372.5,-429.5,
Ramehtor,Alik'r Desert,63264,8992,494,429,TownVillage,TownVillage,494.25,-428.75,494.5,-429.5,
The Hold of Slachke,Alik'r Desert,68136,9000,532,429,DungeonKeep,DungeonKeep,532.3125,-428.6875,532.5,-429.5,Prison
Javenia,Alik'r Desert,70944,8976,554,429,TownHamlet,TownHamlet,554.25,-428.875,554.5,-429.5,
The Fox and Barbarian Tavern,Alik'r Desert,78632,9000,614,429,Tavern,Tavern,614.3125,-428.6875,614.5,-429.5,
The Fox and Barbarian Tavern,Daggerfall,16936,43304,132,161,Tavern,Tavern,132.3125,-160.6875,132.5,-161.5,
The Unfortunate Castle Lodge,Alik'r Desert,80040,9000,625,429,Tavern,Tavern,625.3125,-428.6875,625.5,-429.5,
The Queen's Fawn Inn,Alik'r Desert,67368,8872,526,430,Tavern,Tavern,526.3125,-429.6875,526.5,-430.5,
Thorm'kern Manor,Alik'r Desert,77736,8872,607,430,HomeWealthy,HomeWealthy,607.3125,-429.6875,607.5,-430.5,
Rlirm Manor,Alik'r Desert,47144,8744,368,431,HomeWealthy,HomeWealthy,368.3125,-430.6875,368.5,-431.5,
Ruins of The Tower of Rlortrn,Alik'r Desert,49064,8744,383,431,DungeonRuin,DungeonRuin,383.3125,-430.6875,383.5,-431.5,NaturalCave
The Nhurche Tunnel,Alik'r Desert,52136,8744,407,431,DungeonLabyrinth,DungeonLabyrinth,407.3125,-430.6875,407.5,-431.5,Mine
The Cyujer Farmstead,Alik'r Desert,67752,8744,529,431,HomeFarms,HomeFarms,529.3125,-430.6875,529.5,-431.5,
The T'irman Cabin,Alik'r Desert,71464,8744,558,431,HomePoor,HomePoor,558.3125,-430.6875,558.5,-431.5,
Bleeding Idol of Stendarr,Alik'r Desert,42408,8616,331,432,ReligionTemple,ReligionTemple,331.3125,-431.6875,331.5,-432.5,
The Lion and Priest Hostel,Alik'r Desert,48552,8616,379,432,Tavern,Tavern,379.3125,-431.6875,379.5,-432.5,
Daghoth,Alik'r Desert,69672,8616,544,432,DungeonLabyrinth,DungeonLabyrinth,544.3125,-431.6875,544.5,-432.5,GiantStronghold
Daghoth,Alik'r Desert,69672,8616,544,432,DungeonLabyrinth,DungeonLabyrinth,544.3125,-431.6875,544.5,-432.5,OrcStronghold
Daghoth,Wrothgarian Mountains,125224,48168,978,123,DungeonLabyrinth,DungeonLabyrinth,978.3125,-122.6875,978.5,-123.5,GiantStronghold
Daghoth,Wrothgarian Mountains,125224,48168,978,123,DungeonLabyrinth,DungeonLabyrinth,978.3125,-122.6875,978.5,-123.5,OrcStronghold
The Mhafylar Cemetery,Alik'r Desert,80936,8616,632,432,Graveyard,Graveyard,632.3125,-431.6875,632.5,-432.5,Cemetery
The Tomb of Invereham,Alik'r Desert,63144,8488,493,433,DungeonLabyrinth,DungeonLabyrinth,493.3125,-432.6875,493.5,-433.5,Crypt
Ruins of Lhigin Hall,Alik'r Desert,67880,8488,530,433,DungeonRuin,DungeonRuin,530.3125,-432.6875,530.5,-433.5,RuinedCastle
THe Crypts of B'ugten,Alik'r Desert,42920,8360,335,434,Graveyard,Graveyard,335.3125,-433.6875,335.5,-434.5,Cemetery
Ruins of Castle Kist,Alik'r Desert,51112,8360,399,434,DungeonRuin,DungeonRuin,399.3125,-433.6875,399.5,-434.5,Mine
The Mole and Griffin Pub,Alik'r Desert,71080,8360,555,434,Tavern,Tavern,555.3125,-433.6875,555.5,-434.5,
The Cairn of Vladobion,Alik'r Desert,80680,8360,630,434,DungeonLabyrinth,DungeonLabyrinth,630.3125,-433.6875,630.5,-434.5,Crypt
Djen Lodge,Alik'r Desert,39720,8232,310,435,ReligionCult,ReligionCult,310.3125,-434.6875,310.5,-435.5,
Djen Lodge,Alik'r Desert,40872,2088,319,483,ReligionCult,ReligionCult,319.3125,-482.6875,319.5,-483.5,
Djen Lodge,Dragontail Mountains,126248,4136,986,467,ReligionCult,ReligionCult,986.3125,-466.6875,986.5,-467.5,
Djen Lodge,Dragontail Mountains,122024,3240,953,474,ReligionCult,ReligionCult,953.3125,-473.6875,953.5,-474.5,
Djen Lodge,Dwynnen,68520,59944,535,31,ReligionCult,ReligionCult,535.3125,-30.6875,535.5,-31.5,
Djen Lodge,Dwynnen,72360,57000,565,54,ReligionCult,ReligionCult,565.3125,-53.6875,565.5,-54.5,
Djen Lodge,Dwynnen,64040,55592,500,65,ReligionCult,ReligionCult,500.3125,-64.6875,500.5,-65.5,
Djen Lodge,Dwynnen,64040,53672,500,80,ReligionCult,ReligionCult,500.3125,-79.6875,500.5,-80.5,
Djen Lodge,Dwynnen,65192,53416,509,82,ReligionCult,ReligionCult,509.3125,-81.6875,509.5,-82.5,
Djen Lodge,Dwynnen,64936,49448,507,113,ReligionCult,ReligionCult,507.3125,-112.6875,507.5,-113.5,
Djen Lodge,Wrothgarian Mountains,103848,50088,811,108,ReligionCult,ReligionCult,811.3125,-107.6875,811.5,-108.5,
Djen Lodge,Glenpoint,23848,52264,186,91,ReligionCult,ReligionCult,186.3125,-90.6875,186.5,-91.5,
Djen Lodge,Glenpoint,19240,51624,150,96,ReligionCult,ReligionCult,150.3125,-95.6875,150.5,-96.5,
Djen Lodge,Glenpoint,23848,50216,186,107,ReligionCult,ReligionCult,186.3125,-106.6875,186.5,-107.5,
Djen Lodge,Anticlere,45480,45096,355,147,ReligionCult,ReligionCult,355.3125,-146.6875,355.5,-147.5,
Djen Lodge,Lainlyn,94376,26536,737,292,ReligionCult,ReligionCult,737.3125,-291.6875,737.5,-292.5,
Djen Lodge,Lainlyn,91048,23848,711,313,ReligionCult,ReligionCult,711.3125,-312.6875,711.5,-313.5,
Djen Lodge,Wayrest,123432,31272,964,255,ReligionCult,ReligionCult,964.3125,-254.6875,964.5,-255.5,
Djen Lodge,Wayrest,115240,31144,900,256,ReligionCult,ReligionCult,900.3125,-255.6875,900.5,-256.5,
Djen Lodge,Ykalon,51752,61224,404,21,ReligionCult,ReligionCult,404.3125,-20.6875,404.5,-21.5,
Djen Lodge,Ykalon,48296,60840,377,24,ReligionCult,ReligionCult,377.3125,-23.6875,377.5,-24.5,
Djen Lodge,Daenia,45224,57640,353,49,ReligionCult,ReligionCult,353.3125,-48.6875,353.5,-49.5,
Djen Lodge,Tigonus,67496,17704,527,361,ReligionCult,ReligionCult,527.3125,-360.6875,527.5,-361.5,
Djen Lodge,Satakalaam,100008,25896,781,297,ReligionCult,ReligionCult,781.3125,-296.6875,781.5,-297.5,
Djen Lodge,Satakalaam,99880,25128,780,303,ReligionCult,ReligionCult,780.3125,-302.6875,780.5,-303.5,
Djen Lodge,Tulune,12712,49064,99,116,ReligionCult,ReligionCult,99.3125,-115.6875,99.5,-116.5,
Faugta's Guard,Alik'r Desert,46120,8232,360,435,DungeonKeep,DungeonKeep,360.3125,-434.6875,360.5,-435.5,DesecratedTemple
Perpetual Sunrise of Stendarr,Alik'r Desert,49704,8232,388,435,ReligionTemple,ReligionTemple,388.3125,-434.6875,388.5,-435.5,
The Fortress of Therdke,Alik'r Desert,65832,8232,514,435,DungeonLabyrinth,DungeonLabyrinth,514.3125,-434.6875,514.5,-435.5,RuinedCastle
Ruins of Tower Baerhton,Alik'r Desert,66728,8232,521,435,DungeonRuin,DungeonRuin,521.3125,-434.6875,521.5,-435.5,DesecratedTemple
Ceranda-Kom,Alik'r Desert,41872,7944,327,437,TownCity,TownCity,327.125,-436.9375,327.5,-437.5,
The Baalateusessa Cavern,Alik'r Desert,43688,7976,341,437,DungeonLabyrinth,DungeonLabyrinth,341.3125,-436.6875,341.5,-437.5,NaturalCave
The Slugir Cemetery,Alik'r Desert,48808,7976,381,437,Graveyard,Graveyard,381.3125,-436.6875,381.5,-437.5,Cemetery
The Red Giant Tavern,Alik'r Desert,49192,7976,384,437,Tavern,Tavern,384.3125,-436.6875,384.5,-437.5,
The Red Giant Tavern,Sentinel,48168,14888,376,383,Tavern,Tavern,376.3125,-382.6875,376.5,-383.5,
Ruins of Rlictt Court,Alik'r Desert,41512,7848,324,438,DungeonRuin,DungeonRuin,324.3125,-437.6875,324.5,-438.5,DesecratedTemple
The Thirsty Castle Inn,Alik'r Desert,73000,7848,570,438,Tavern,Tavern,570.3125,-437.6875,570.5,-438.5,
Ruins of Fherkin's Guard,Alik'r Desert,39464,7720,308,439,DungeonRuin,DungeonRuin,308.3125,-438.6875,308.5,-439.5,RuinedCastle
The Dead Djinn Lodge,Alik'r Desert,40232,7720,314,439,Tavern,Tavern,314.3125,-438.6875,314.5,-439.5,
The Dead Djinn Lodge,Abibon-Gora,25384,2856,198,477,Tavern,Tavern,198.3125,-476.6875,198.5,-477.5,
Ruins of The D'uctem Farmstead,Alik'r Desert,53800,7720,420,439,DungeonRuin,DungeonRuin,420.3125,-438.6875,420.5,-439.5,HumanStronghold
Wailing Omen of Stendarr,Alik'r Desert,55080,7720,430,439,ReligionTemple,ReligionTemple,430.3125,-438.6875,430.5,-439.5,
The Devil's Ogre Pub,Alik'r Desert,55336,7720,432,439,Tavern,Tavern,432.3125,-438.6875,432.5,-439.5,
Ruins of The F'ormte Cabin,Alik'r Desert,57512,7720,449,439,DungeonRuin,DungeonRuin,449.3125,-438.6875,449.5,-439.5,DesecratedTemple
The Baeght Cemetery,Alik'r Desert,43944,7592,343,440,Graveyard,Graveyard,343.3125,-439.6875,343.5,-440.5,Cemetery
Naroza,Alik'r Desert,73888,7584,577,440,TownVillage,TownVillage,577.25,-439.75,577.5,-440.5,
Ruins of The Old Caarme Hovel,Alik'r Desert,51880,7464,405,441,DungeonRuin,DungeonRuin,405.3125,-440.6875,405.5,-441.5,DesecratedTemple
Ruins of Slarkon Grange,Alik'r Desert,65576,7464,512,441,DungeonRuin,DungeonRuin,512.3125,-440.6875,512.5,-441.5,ScorpionNest
Jode Shrine,Alik'r Desert,43944,7336,343,442,ReligionCult,ReligionCult,343.3125,-441.6875,343.5,-442.5,
Jode Shrine,Dragontail Mountains,112680,13224,880,396,ReligionCult,ReligionCult,880.3125,-395.6875,880.5,-396.5,
Jode Shrine,Dragontail Mountains,100520,10024,785,421,ReligionCult,ReligionCult,785.3125,-420.6875,785.5,-421.5,
Jode Shrine,Dwynnen,63912,61096,499,22,ReligionCult,ReligionCult,499.3125,-21.6875,499.5,-22.5,
