fid,name,type,prefab,worldX,worldY,locationID,terrainX,terrainY,region,gisX,gixY,rotYaxis,climate,color,sink,heightOffset
42,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_07,511,352,51126352122,26,122,Tigonus,511.203125,-352.046875,107,Subtropical,Brown,0.5,
43,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_10,550,327,5503832719,38,19,Tigonus,550.296875,-327.8515625,30,Subtropical,Brown,0.5,
46,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Medium_08,506,344,50610934424,109,24,Tigonus,506.8515625,-344.8125,120,Subtropical,Brown,0.5,
47,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Medium_10,531,343,5314134373,41,73,Tigonus,531.3203125,-343.4296875,-174,Subtropical,Brown,0.5,
48,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Medium_11,546,326,54658326111,58,111,Tigonus,546.453125,-326.1328125,-84,Subtropical,Brown,0.5,
50,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Large_04,559,315,5596031513,60,13,Tigonus,559.46875,-315.8984375,90,Subtropical,Brown,0.5,
54,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Medium_01,580,347,580112347107,112,107,Tigonus,580.875,-347.1640625,143,Subtropical,Brown,0.5,
56,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Medium_07,551,365,551107365111,107,111,Tigonus,551.8359375,-365.1328125,162,Subtropical,Brown,0.5,
57,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Medium_09,483,353,48386353128,86,128,Tigonus,483.671875,-353.0,84,Subtropical,Brown,0.5,
58,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Large_05,514,353,5147135307,71,7,Tigonus,514.5546875,-353.9453125,-161,Subtropical,Brown,0.5,
67,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Large_02,579,321,5794332111,43,11,Tigonus,579.3359375,-321.9140625,49,Subtropical,Brown,0.5,
68,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Large_07,574,322,5740932208,9,8,Tigonus,574.0703125,-322.9375,-25,Subtropical,Brown,0.5,
72,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_06,493,356,49311835604,118,4,Tigonus,493.921875,-356.96875,-88,Subtropical,Brown,0.5,
76,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Medium_05,594,372,5946437239,64,39,Tigonus,594.5,-372.6953125,-53,Subtropical,Brown,0.5,
78,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Medium_12,564,368,56411336872,113,72,Tigonus,564.8828125,-368.4375,-43,Subtropical,Brown,0.5,
83,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Large_09,601,385,60110385117,10,117,Tigonus,601.078125,-385.0859375,29,Subtropical,Brown,0.5,
84,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_05,480,357,4806135717,61,17,Tigonus,480.4765625,-357.8671875,58,Subtropical,Brown,0.5,
85,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_08,570,322,5706832228,68,28,Tigonus,570.53125,-322.78125,127,Subtropical,Brown,0.5,
86,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Medium_05,498,360,49874360120,74,120,Tigonus,498.578125,-360.0625,-159,Subtropical,Brown,0.5,
88,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_01,549,350,54933350102,33,102,Tigonus,549.2578125,-350.203125,-141,Subtropical,Brown,0.5,
89,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_06,570,308,57036308122,36,122,Tigonus,570.28125,-308.046875,4,Subtropical,Brown,0.5,
91,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_09,534,351,534108351112,108,112,Tigonus,534.84375,-351.125,153,Subtropical,Brown,0.5,
95,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Medium_11,584,289,5845828914,58,14,Tigonus,584.453125,-289.890625,69,Subtropical,Brown,0.5,
97,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Large_05,556,346,5560534627,5,27,Tigonus,556.0390625,-346.7890625,-45,Subtropical,Brown,0.5,
98,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_03,558,347,55896347101,96,101,Tigonus,558.75,-347.2109375,-168,Subtropical,Brown,0.5,
99,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_09,561,328,56131328113,31,113,Tigonus,561.2421875,-328.1171875,177,Subtropical,Brown,0.5,
100,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Medium_01,575,362,57510436225,104,25,Tigonus,575.8125,-362.8046875,54,Subtropical,Brown,0.5,
101,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Medium_11,516,353,51610635303,106,3,Tigonus,516.828125,-353.9765625,-35,Subtropical,Brown,0.5,
105,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Large_08,501,359,50110735920,107,20,Tigonus,501.8359375,-359.84375,-72,Subtropical,Brown,0.5,
108,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_06,561,355,5619435523,94,23,Tigonus,561.734375,-355.8203125,18,Subtropical,Brown,0.5,
112,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Medium_08,562,315,56212531522,125,22,Tigonus,562.9765625,-315.828125,-88,Subtropical,Brown,0.5,
113,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Medium_10,516,359,51612435914,124,14,Tigonus,516.96875,-359.890625,41,Subtropical,Brown,0.5,
114,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Large_06,544,363,54404363115,4,115,Tigonus,544.03125,-363.1015625,-2,Subtropical,Brown,0.5,
116,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_01,580,332,5805333204,53,4,Tigonus,580.4140625,-332.96875,-47,Subtropical,Brown,0.5,
118,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_06,560,351,56086351106,86,106,Tigonus,560.671875,-351.171875,168,Subtropical,Brown,0.5,
122,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Medium_11,565,319,56594319124,94,124,Tigonus,565.734375,-319.03125,67,Subtropical,Brown,0.5,
126,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_08,593,371,5934237137,42,37,Tigonus,593.328125,-371.7109375,37,Subtropical,Brown,0.5,
127,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_09,512,346,5127634615,76,15,Tigonus,512.59375,-346.8828125,147,Subtropical,Brown,0.5,
128,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Medium_02,557,351,5574735109,47,9,Tigonus,557.3671875,-351.9296875,-178,Subtropical,Brown,0.5,
134,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_10,562,349,5626734914,67,14,Tigonus,562.5234375,-349.890625,-13,Subtropical,Brown,0.5,
136,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Medium_07,601,374,6018837415,88,15,Tigonus,601.6875,-374.8828125,112,Subtropical,Brown,0.5,
138,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Large_05,570,309,57012330972,123,72,Tigonus,570.9609375,-309.4375,83,Subtropical,Brown,0.5,
139,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Large_06,570,309,57010830947,108,47,Tigonus,570.84375,-309.6328125,179,Subtropical,Brown,0.5,
140,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Large_07,558,346,5589834629,98,29,Tigonus,558.765625,-346.7734375,82,Subtropical,Brown,0.5,
146,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_04,492,357,492128357128,128,128,Tigonus,493.0,-357.0,-105,Subtropical,Brown,0.5,
149,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_09,597,380,5979038068,90,68,Tigonus,597.703125,-380.46875,146,Subtropical,Brown,0.5,
150,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Medium_09,559,339,5595633901,56,1,Tigonus,559.4375,-339.9921875,65,Subtropical,Brown,0.5,
154,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_07,585,359,5851735907,17,7,Tigonus,585.1328125,-359.9453125,-176,Subtropical,Brown,0.5,
158,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Medium_08,488,359,48810635925,106,25,Tigonus,488.828125,-359.8046875,115,Subtropical,Brown,0.5,
159,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Large_05,555,346,55511634626,116,26,Tigonus,555.90625,-346.796875,119,Subtropical,Brown,0.5,
161,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_05,529,350,5299335095,93,95,Tigonus,529.7265625,-350.2578125,166,Subtropical,Brown,0.5,
162,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_06,502,360,50260360103,60,103,Tigonus,502.46875,-360.1953125,168,Subtropical,Brown,0.5,
163,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_08,520,343,5203934385,39,85,Tigonus,520.3046875,-343.3359375,-178,Subtropical,Brown,0.5,
170,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Large_09,505,360,50521360121,21,121,Tigonus,505.1640625,-360.0546875,-79,Subtropical,Brown,0.5,
175,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Medium_01,580,296,5805129602,51,2,Tigonus,580.3984375,-296.984375,84,Subtropical,Brown,0.5,
176,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Medium_04,556,346,55610634605,106,5,Tigonus,556.828125,-346.9609375,80,Subtropical,Brown,0.5,
184,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_04,543,362,5433236230,32,30,Tigonus,543.25,-362.765625,104,Subtropical,Brown,0.5,
185,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_06,592,356,5925835632,58,32,Tigonus,592.453125,-356.75,-69,Subtropical,Brown,0.5,
189,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Medium_11,597,381,59711638152,116,52,Tigonus,597.90625,-381.59375,-132,Subtropical,Brown,0.5,
190,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Large_01,560,343,5600434360,4,60,Tigonus,560.03125,-343.53125,178,Subtropical,Brown,0.5,
191,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Large_04,483,353,48319353118,19,118,Tigonus,483.1484375,-353.078125,85,Subtropical,Brown,0.5,
192,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_06,593,371,5931037185,10,85,Tigonus,593.078125,-371.3359375,-17,Subtropical,Brown,0.5,
194,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Medium_06,561,328,56176328126,76,126,Tigonus,561.59375,-328.015625,113,Subtropical,Brown,0.5,
195,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Medium_12,560,340,56086340104,86,104,Tigonus,560.671875,-340.1875,-153,Subtropical,Brown,0.5,
196,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Large_03,549,339,54912533920,125,20,Tigonus,549.9765625,-339.84375,-11,Subtropical,Brown,0.5,
197,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_01,559,367,55910736788,107,88,Tigonus,559.8359375,-367.3125,-163,Subtropical,Brown,0.5,
198,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_03,482,360,48285360107,85,107,Tigonus,482.6640625,-360.1640625,-2,Subtropical,Brown,0.5,
203,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Large_03,597,379,597126379109,126,109,Tigonus,597.984375,-379.1484375,163,Subtropical,Brown,0.5,
205,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_04,574,317,57410831710,108,10,Tigonus,574.84375,-317.921875,50,Subtropical,Brown,0.5,
208,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_08,535,360,535100360128,100,128,Tigonus,535.78125,-360.0,58,Subtropical,Brown,0.5,
211,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Medium_05,576,318,57613318117,13,117,Tigonus,576.1015625,-318.0859375,-4,Subtropical,Brown,0.5,
213,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_03,527,338,5274633832,46,32,Tigonus,527.359375,-338.75,165,Subtropical,Brown,0.5,
215,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_09,534,346,5342534625,25,25,Tigonus,534.1953125,-346.8046875,145,Subtropical,Brown,0.5,
217,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Medium_01,605,381,605109381109,109,109,Tigonus,605.8515625,-381.1484375,77,Subtropical,Brown,0.5,
219,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Medium_04,514,351,5145235116,52,16,Tigonus,514.40625,-351.875,-171,Subtropical,Brown,0.5,
221,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Medium_09,583,372,5834037208,40,8,Tigonus,583.3125,-372.9375,-60,Subtropical,Brown,0.5,
222,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Medium_11,598,374,5981537414,15,14,Tigonus,598.1171875,-374.890625,15,Subtropical,Brown,0.5,
223,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Medium_12,524,353,5240835398,8,98,Tigonus,524.0625,-353.234375,108,Subtropical,Brown,0.5,
226,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Large_09,547,325,5477932514,79,14,Tigonus,547.6171875,-325.890625,151,Subtropical,Brown,0.5,
229,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_10,546,363,5464136394,41,94,Tigonus,546.3203125,-363.265625,25,Subtropical,Brown,0.5,
235,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Large_06,593,366,59393366120,93,120,Tigonus,593.7265625,-366.0625,2,Subtropical,Brown,0.5,
236,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Large_09,563,350,5634835070,48,70,Tigonus,563.375,-350.453125,-112,Subtropical,Brown,0.5,
237,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_06,595,376,5959537696,95,96,Tigonus,595.7421875,-376.25,169,Subtropical,Brown,0.5,
238,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_08,527,353,52703353108,3,108,Tigonus,527.0234375,-353.15625,-50,Subtropical,Brown,0.5,
240,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Medium_08,576,357,5766235712,62,12,Tigonus,576.484375,-357.90625,19,Subtropical,Brown,0.5,
241,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Medium_09,577,347,5772734706,27,6,Tigonus,577.2109375,-347.953125,158,Subtropical,Brown,0.5,
242,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Medium_11,483,360,4835136067,51,67,Tigonus,483.3984375,-360.4765625,-140,Subtropical,Brown,0.5,
246,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_09,520,343,5201934345,19,45,Tigonus,520.1484375,-343.6484375,158,Subtropical,Brown,0.5,
255,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_02,537,353,5377335323,73,23,Tigonus,537.5703125,-353.8203125,119,Subtropical,Brown,0.5,
256,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_06,486,360,4865036003,50,3,Tigonus,486.390625,-360.9765625,16,Subtropical,Brown,0.5,
258,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Medium_02,541,337,54163337104,63,104,Tigonus,541.4921875,-337.1875,-102,Subtropical,Brown,0.5,
259,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Medium_04,576,363,5767736369,77,69,Tigonus,576.6015625,-363.4609375,-103,Subtropical,Brown,0.5,
263,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Medium_09,580,354,5803535491,35,91,Tigonus,580.2734375,-354.2890625,14,Subtropical,Brown,0.5,
264,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Large_01,567,319,5670331910,3,10,Tigonus,567.0234375,-319.921875,86,Subtropical,Brown,0.5,
268,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Large_08,590,365,59082365119,82,119,Tigonus,590.640625,-365.0703125,79,Subtropical,Brown,0.5,
272,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_03,552,354,5521735474,17,74,Tigonus,552.1328125,-354.421875,170,Subtropical,Brown,0.5,
273,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_04,566,320,566110320117,110,117,Tigonus,566.859375,-320.0859375,33,Subtropical,Brown,0.5,
276,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_09,536,360,5365636090,56,90,Tigonus,536.4375,-360.296875,5,Subtropical,Brown,0.5,
277,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_10,562,316,56299316126,99,126,Tigonus,562.7734375,-316.015625,-55,Subtropical,Brown,0.5,
284,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_02,599,375,5999637594,96,94,Tigonus,599.75,-375.265625,-4,Subtropical,Brown,0.5,
286,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_05,584,290,58474290101,74,101,Tigonus,584.578125,-290.2109375,56,Subtropical,Brown,0.5,
289,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Medium_05,549,326,5497532628,75,28,Tigonus,549.5859375,-326.78125,-129,Subtropical,Brown,0.5,
290,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Medium_07,537,345,53710934525,109,25,Tigonus,537.8515625,-345.8046875,-79,Subtropical,Brown,0.5,
294,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Large_07,505,354,5058435407,84,7,Tigonus,505.65625,-354.9453125,86,Subtropical,Brown,0.5,
296,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_07,512,360,51231360122,31,122,Tigonus,512.2421875,-360.046875,-104,Subtropical,Brown,0.5,
297,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Medium_01,555,332,5551033275,10,75,Tigonus,555.078125,-332.4140625,169,Subtropical,Brown,0.5,
298,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Medium_02,485,352,4857235240,72,40,Tigonus,485.5625,-352.6875,21,Subtropical,Brown,0.5,
301,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Medium_11,589,356,5898835639,88,39,Tigonus,589.6875,-356.6953125,-163,Subtropical,Brown,0.5,
303,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Large_08,549,358,5492435852,24,52,Tigonus,549.1875,-358.59375,-173,Subtropical,Brown,0.5,
304,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_01,582,294,58244294105,44,105,Tigonus,582.34375,-294.1796875,-119,Subtropical,Brown,0.5,
309,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_06,558,333,5586233380,62,80,Tigonus,558.484375,-333.375,-88,Subtropical,Brown,0.5,
310,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_07,497,349,4976234946,62,46,Tigonus,497.484375,-349.640625,-56,Subtropical,Brown,0.5,
311,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_08,558,313,5584231324,42,24,Tigonus,558.328125,-313.8125,61,Subtropical,Brown,0.5,
312,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_09,502,347,50210634761,106,61,Tigonus,502.828125,-347.5234375,95,Subtropical,Brown,0.5,
313,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_10,524,355,52411835574,118,74,Tigonus,524.921875,-355.421875,146,Subtropical,Brown,0.5,
316,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Medium_03,583,338,58337338111,37,111,Tigonus,583.2890625,-338.1328125,158,Subtropical,Brown,0.5,
320,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Medium_08,563,326,5635932663,59,63,Tigonus,563.4609375,-326.5078125,-158,Subtropical,Brown,0.5,
325,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Large_04,511,359,51173359110,73,110,Tigonus,511.5703125,-359.140625,-54,Subtropical,Brown,0.5,
326,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Large_05,533,339,5339233984,92,84,Tigonus,533.71875,-339.34375,-125,Subtropical,Brown,0.5,
328,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Large_09,596,385,5961438547,14,47,Tigonus,596.109375,-385.6328125,170,Subtropical,Brown,0.5,
330,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_02,534,338,5347033881,70,81,Tigonus,534.546875,-338.3671875,-105,Subtropical,Brown,0.5,
331,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_03,579,343,5797434339,74,39,Tigonus,579.578125,-343.6953125,-2,Subtropical,Brown,0.5,
332,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_04,581,361,5814836119,48,19,Tigonus,581.375,-361.8515625,-129,Subtropical,Brown,0.5,
333,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_05,579,330,5794033082,40,82,Tigonus,579.3125,-330.359375,84,Subtropical,Brown,0.5,
335,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_09,526,339,5261033934,10,34,Tigonus,526.078125,-339.734375,136,Subtropical,Brown,0.5,
336,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_10,569,357,56938357115,38,115,Tigonus,569.296875,-357.1015625,-61,Subtropical,Brown,0.5,
337,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Medium_01,582,364,58212536426,125,26,Tigonus,582.9765625,-364.796875,48,Subtropical,Brown,0.5,
342,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Medium_09,576,370,57612237074,122,74,Tigonus,576.953125,-370.421875,99,Subtropical,Brown,0.5,
343,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Medium_11,487,351,4873035193,30,93,Tigonus,487.234375,-351.2734375,-159,Subtropical,Brown,0.5,
344,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Large_01,567,318,5673231823,32,23,Tigonus,567.25,-318.8203125,57,Subtropical,Brown,0.5,
345,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Large_02,548,362,5485936269,59,69,Tigonus,548.4609375,-362.4609375,45,Subtropical,Brown,0.5,
346,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Large_03,496,351,4968835124,88,24,Tigonus,496.6875,-351.8125,-83,Subtropical,Brown,0.5,
347,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Large_04,501,358,50153358100,53,100,Tigonus,501.4140625,-358.21875,3,Subtropical,Brown,0.5,
348,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Large_06,556,356,5560135697,1,97,Tigonus,556.0078125,-356.2421875,-106,Subtropical,Brown,0.5,
349,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Large_07,566,361,5669336127,93,27,Tigonus,566.7265625,-361.7890625,179,Subtropical,Brown,0.5,
350,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Large_08,587,367,5872436745,24,45,Tigonus,587.1875,-367.6484375,9,Subtropical,Brown,0.5,
351,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Large_09,490,355,49010135557,101,57,Tigonus,490.7890625,-355.5546875,177,Subtropical,Brown,0.5,
352,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_01,553,323,5536532388,65,88,Tigonus,553.5078125,-323.3125,120,Subtropical,Brown,0.5,
354,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_04,551,356,5516135656,61,56,Tigonus,551.4765625,-356.5625,-104,Subtropical,Brown,0.5,
356,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_06,566,336,5669133622,91,22,Tigonus,566.7109375,-336.828125,46,Subtropical,Brown,0.5,
358,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_08,563,354,5630135424,1,24,Tigonus,563.0078125,-354.8125,-101,Subtropical,Brown,0.5,
359,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_09,567,359,5679935903,99,3,Tigonus,567.7734375,-359.9765625,-134,Subtropical,Brown,0.5,
